country_name,country_code,series_code,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019
Eritrea,ERI,LE_BTH,66.033,66.289,66.577,67.067,67.3
Eswatini,SWZ,LE_BTH,55.019,56.659,57.895,59.411,60.549
Ethiopia,ETH,LE_BTH,63.649,64.392,64.838,65.412,65.838
Gabon,GAB,LE_BTH,65.46,65.802,66.189,66.306,66.603
"Gambia, The",GMB,LE_BTH,62.494,63.013,62.995,63.04,63.755
Algeria,DZA,CHE,6.98000001907349,6.6100001335144,6.28000020980835,6.15999984741211,6.23999977111816
Angola,AGO,CHE,2.60999989509583,2.71000003814697,2.78999996185303,2.53999996185303,2.52999997138977
Benin,BEN,CHE,2.91000008583069,2.74000000953674,2.61999988555908,2.5,2.39000010490417
Botswana,BWA,CHE,5.73000001907349,5.55999994277954,6.13000011444092,5.96999979019165,6.05000019073486
Burkina Faso,BFA,CHE,5.13000011444092,5.96000003814697,6.03000020980835,4.90999984741211,5.46000003814697
Burundi,BDI,CHE,6.42999982833862,7.71999979019165,7.90000009536743,8.23999977111816,7.98999977111816
Cameroon,CMR,CHE,3.75,3.73000001907349,3.49000000953674,3.47000002861023,3.59999990463257
Cabo Verde,CPV,CHE,4.82000017166138,4.84999990463257,5.28000020980835,5.26999998092651,4.94000005722046
Central African Republic,CAF,CHE,5.03000020980835,5.44000005722046,6.67000007629395,11,7.75
Chad,TCD,CHE,4.51999998092651,5.05000019073486,4.55999994277954,4.17000007629395,4.34999990463257
Comoros,COM,CHE,4.59999990463257,4.65000009536743,5.26999998092651,4.90000009536743,5.17000007629395
"Congo, Dem. Rep.",COD,CHE,3.97000002861023,4.36999988555908,4.15999984741211,3.29999995231628,3.53999996185303
"Congo, Rep.",COG,CHE,2.46000003814697,2.78999996185303,2.51999998092651,1.94000005722046,2.07999992370605
Cote d'Ivoire,CIV,CHE,3.22000002861023,3.34999990463257,3.30999994277954,3.11999988555908,3.29999995231628
Djibouti,DJI,CHE,3.07999992370605,2.73000001907349,2.46000003814697,2.25999999046326,1.79999995231628
"Egypt, Arab Rep.",EGY,CHE,5.34000015258789,5.3600001335144,5.63000011444092,4.94999980926514,4.73999977111816
Equatorial Guinea,GNQ,CHE,2.92000007629395,3.14000010490417,2.96000003814697,3.05999994277954,3.14000010490417
Eritrea,ERI,CHE,4.44999980926514,3.51999998092651,3.73000001907349,4.13000011444092,4.46000003814697
Ethiopia,ETH,CHE,3.8199999332428,3.59999990463257,3.45000004768372,3.30999994277954,3.24000000953674
Gabon,GAB,CHE,2.66000008583069,3.10999989509583,2.77999997138977,2.75,2.76999998092651
"Gambia, The",GMB,CHE,3.1800000667572,3.6800000667572,4.1399998664856,4.8899998664856,3.8199999332428
Ghana,GHA,CHE,4.61999988555908,3.46000003814697,3.35999989509583,3.49000000953674,3.42000007629395
Guinea,GIN,CHE,5.80999994277954,5.40000009536743,3.91000008583069,3.64000010490417,3.98000001907349
Guinea-Bissau,GNB,CHE,8.13000011444092,8.32999992370605,7,7.63000011444092,8.35000038146973
Kenya,KEN,CHE,5.21999979019165,5.1399998664856,4.1399998664856,4.30999994277954,4.59000015258789
Lesotho,LSO,CHE,9,8.76000022888184,10.0900001525879,10.8999996185303,11.2700004577637
Liberia,LBR,CHE,10.6400003433228,9.85000038146973,9.09000015258789,9.03999996185303,8.47000026702881
Libya,LBY,CHE,NULL,NULL,NULL,NULL,NULL
Madagascar,MDG,CHE,4.96999979019165,5.26000022888184,4.84000015258789,4.19999980926514,3.69000005722046
Malawi,MWI,CHE,9.32999992370605,10.8800001144409,10.8900003433228,9.82999992370605,7.3899998664856
Mali,MLI,CHE,4.1100001335144,3.76999998092651,3.67000007629395,3.73000001907349,3.89000010490417
Mauritius,MUS,CHE,5.69999980926514,5.71000003814697,5.80999994277954,5.86999988555908,6.19999980926514
Mauritania,MRT,CHE,3.67000007629395,3.09999990463257,3.33999991416931,3.57999992370605,3.29999995231628
Morocco,MAR,CHE,5.07000017166138,5.23999977111816,5.23000001907349,5.32999992370605,5.30999994277954
Mozambique,MOZ,CHE,6.71999979019165,7.17000007629395,7.76000022888184,8.09000015258789,7.82999992370605
Namibia,NAM,CHE,9.97999954223633,9.31999969482422,8.72999954223633,8.3100004196167,8.5
Niger,NER,CHE,5.34999990463257,4.53000020980835,5.57000017166138,5.28999996185303,5.67000007629395
Nigeria,NGA,CHE,3.57999992370605,3.65000009536743,3.75,3.08999991416931,3.02999997138977
Rwanda,RWA,CHE,6.61999988555908,6.92999982833862,6.3899998664856,6.67999982833862,6.40999984741211
Sao Tome and Principe,STP,CHE,5.34000015258789,6.42999982833862,6.46000003814697,5.84000015258789,5.53000020980835
Senegal,SEN,CHE,4.38000011444092,4.26000022888184,4,4.23999977111816,4.13000011444092
